logTe log_g Mass e_Mass Age e_Age Teff
3.93 4.4 0.1721 0.0014 43.534 33.249 8511.3818359375
3.93 4.5 0.1679 0.0011 63.494 30.210 8511.3818359375
3.93 4.6 0.1638 0.0010 96.735 29.310 8511.3818359375
3.93 4.7 0.1601 0.0010 140.736 27.694 8511.3818359375
3.93 4.8 0.1567 0.0005 195.919 20.422 8511.3818359375
3.93 4.9 0.1536 0.0005 270.981 18.279 8511.3818359375
3.93 5.0 0.1511 0.0004 363.927 15.479 8511.3818359375
3.93 5.1 0.1495 0.0006 620.923 46.616 8511.3818359375
3.93 5.2 0.1480 0.0005 805.151 39.573 8511.3818359375
3.93 5.3 0.1466 0.0004 1450.543 129.574 8511.3818359375
3.93 5.4 0.1461 0.0004 1757.980 114.645 8511.3818359375
3.93 5.5 0.1469 0.0003 1524.944 264.820 8511.3818359375
3.93 5.6 0.1715 0.0001 1437.043 5.226 8511.3818359375
3.93 5.7 0.1569 0.0001 3180.505 15.254 8511.3818359375
3.93 5.8 0.1505 0.0002 3014.732 27.141 8511.3818359375
3.93 5.9 0.1531 0.0004 3194.225 60.320 8511.3818359375
3.93 6.0 0.1565 0.0003 3326.880 69.310 8511.3818359375
3.93 6.1 0.1602 0.0003 3545.463 208.469 8511.3818359375
3.93 6.2 0.1644 0.0004 3883.614 385.670 8511.3818359375
3.93 6.3 0.1691 0.0005 4449.204 305.970 8511.3818359375
3.93 6.4 0.1744 0.0004 5232.951 218.444 8511.3818359375
3.93 6.5 0.1796 0.0012 4118.047 786.314 8511.3818359375
3.93 6.6 0.1881 0.0029 2933.952 751.233 8511.3818359375
3.93 6.7 0.1951 0.0013 1191.588 35.770 8511.3818359375
3.93 6.8 0.2124 0.0011 1081.711 105.380 8511.3818359375
3.93 6.9 0.2296 0.0001 994.420 33.181 8511.3818359375
3.93 7.0 0.2478 0.0003 899.811 42.606 8511.3818359375
3.93 7.1 0.2664 0.0004 674.735 41.094 8511.3818359375
3.93 7.2 0.2910 0.0005 866.708 62.115 8511.3818359375
3.93 7.3 0.3194 0.0010 1123.775 231.351 8511.3818359375
3.93 7.4 0.3489 0.0003 1136.778 42.620 8511.3818359375
3.93 7.5 0.3855 0.0025 1313.080 157.236 8511.3818359375
3.93 7.6 0.4227 0.0002 1529.731 27.414 8511.3818359375
3.93 7.7 0.4579 0.0000 855.674 10.600 8511.3818359375
3.94 3.0 0.2732 0.0077 3.243 2.644 8709.63671875
3.94 3.1 0.2670 0.0074 5.966 3.521 8709.63671875
3.94 3.2 0.2595 0.0062 17.593 13.368 8709.63671875
3.94 3.3 0.2516 0.0054 23.785 15.517 8709.63671875
3.94 3.4 0.2427 0.0046 35.489 21.104 8709.63671875
3.94 3.5 0.2337 0.0040 45.423 23.939 8709.63671875
3.94 3.6 0.2253 0.0035 45.786 24.807 8709.63671875
3.94 3.7 0.2172 0.0031 46.756 22.898 8709.63671875
3.94 3.8 0.2100 0.0027 42.447 24.807 8709.63671875
3.94 3.9 0.2031 0.0023 40.363 25.928 8709.63671875
3.94 4.0 0.1967 0.0021 32.450 28.297 8709.63671875
3.94 4.1 0.1904 0.0019 28.311 33.194 8709.63671875
3.94 4.2 0.1846 0.0017 27.509 34.570 8709.63671875
3.94 4.3 0.1792 0.0016 34.784 36.416 8709.63671875
3.94 4.4 0.1743 0.0014 49.425 35.020 8709.63671875
3.94 4.5 0.1701 0.0010 71.954 32.745 8709.63671875
3.94 4.6 0.1660 0.0010 109.569 33.809 8709.63671875
3.94 4.7 0.1622 0.0009 160.441 33.838 8709.63671875
3.94 4.8 0.1587 0.0008 223.135 32.370 8709.63671875
3.94 4.9 0.1558 0.0007 300.921 29.399 8709.63671875
3.94 5.0 0.1534 0.0006 445.053 41.080 8709.63671875
3.94 5.1 0.1513 0.0005 612.670 39.498 8709.63671875
3.94 5.2 0.1496 0.0004 940.388 114.837 8709.63671875
3.94 5.3 0.1483 0.0004 1395.099 130.347 8709.63671875
3.94 5.4 0.1479 0.0004 1706.358 108.728 8709.63671875
3.94 5.5 0.1482 0.0004 1750.789 174.493 8709.63671875
3.94 5.6 0.1490 0.0003 1666.169 294.085 8709.63671875
3.94 5.7 0.1552 0.0001 2874.855 6.832 8709.63671875
3.94 5.8 0.1524 0.0003 2742.464 30.993 8709.63671875
3.94 5.9 0.1550 0.0005 2917.421 54.533 8709.63671875
3.94 6.0 0.1583 0.0005 3076.456 113.658 8709.63671875
3.94 6.1 0.1618 0.0003 3214.810 132.643 8709.63671875
3.94 6.2 0.1660 0.0003 3489.870 320.504 8709.63671875
3.94 6.3 0.1708 0.0005 3900.455 346.843 8709.63671875
3.94 6.4 0.1762 0.0004 4564.053 263.385 8709.63671875
3.94 6.5 0.1808 0.0013 3447.381 707.874 8709.63671875
3.94 6.6 0.1887 0.0028 2669.621 754.967 8709.63671875
3.94 6.7 0.1962 0.0014 1127.060 38.072 8709.63671875
3.94 6.8 0.2137 0.0011 1024.926 98.941 8709.63671875
3.94 6.9 0.2310 0.0001 929.697 27.127 8709.63671875
3.94 7.0 0.2491 0.0003 818.958 36.826 8709.63671875
3.94 7.1 0.2675 0.0003 615.447 30.646 8709.63671875
3.94 7.2 0.2923 0.0005 822.587 56.922 8709.63671875
3.94 7.3 0.3205 0.0010 1050.586 206.811 8709.63671875
3.94 7.4 0.3499 0.0003 1056.080 38.043 8709.63671875
3.94 7.5 0.3849 0.0005 1146.473 35.609 8709.63671875
3.94 7.6 0.4235 0.0004 1444.502 26.496 8709.63671875
3.95 3.0 0.2764 0.0080 1.997 1.915 8912.5107421875
3.95 3.1 0.2704 0.0075 5.324 2.451 8912.5107421875
3.95 3.2 0.2627 0.0067 14.336 10.834 8912.5107421875
3.95 3.3 0.2548 0.0058 22.949 13.018 8912.5107421875
3.95 3.4 0.2470 0.0050 31.535 19.999 8912.5107421875
3.95 3.5 0.2377 0.0045 40.192 23.005 8912.5107421875
3.95 3.6 0.2289 0.0039 49.274 22.551 8912.5107421875
3.95 3.7 0.2206 0.0033 49.502 22.972 8912.5107421875
3.95 3.8 0.2130 0.0029 46.429 23.740 8912.5107421875
3.95 3.9 0.2059 0.0026 41.365 27.544 8912.5107421875
3.95 4.0 0.1993 0.0022 41.354 25.990 8912.5107421875
3.95 4.1 0.1931 0.0020 28.663 34.223 8912.5107421875
3.95 4.2 0.1871 0.0018 26.296 37.666 8912.5107421875
3.95 4.3 0.1816 0.0016 31.981 38.925 8912.5107421875
3.95 4.4 0.1766 0.0015 47.593 40.033 8912.5107421875
3.95 4.5 0.1720 0.0012 73.449 37.593 8912.5107421875
3.95 4.6 0.1681 0.0009 110.959 36.549 8912.5107421875
3.95 4.7 0.1642 0.0009 167.278 33.474 8912.5107421875
