LOGL LOGTEFF T_c Ro_c Hc Hec Con_s Con_c LogedadMyr Mass Mdot modelo LogLpp LogLcno LogLHe LogLCC intdSdt LogLnu Log_MHtot Log_HeBuf Masa_HFC Masa_HeFC log_g RR_sun LHergs SepFaseergs Teff Age
3.235368 5.635027 2.502205 8.211826 0.0 0.0 0.0 0.0 2.292122266442953 1.22573 -33.0 897016 -99.0 -99.0 -99.0 -99.0 91322.3 4.9522825 -5.7316529 -5.5456945 1.2257283 1.2254598 8.7861737 0.0074125 0.0 -0.0 431545.9051153396 8.681273016009072e-06
3.110603 5.57405 2.382272 7.962006 0.0 0.0 0.0 0.0 2.292122267343367 1.15919 -33.0 897038 -99.0 -99.0 -99.0 -99.0 20614.67 4.2859617 -5.7506559 -3.9994093 1.1591813 1.1585626 8.6427909 0.0085023 0.0 -0.0 375016.1750929268 9.087510676408783e-06
3.394222 5.711755 2.635036 8.522363 0.0 0.0 0.0 0.0 2.292122268574841 1.2919 -33.0 897016 -99.0 -99.0 -99.0 -99.0 526161.8 5.7190624 -5.7343466 -5.0118092 1.2919012 1.2917514 8.9570701 0.0062508 0.0 -0.0 514938.0688910396 9.643111923196557e-06
3.229869 5.633809 2.501842 8.21193 0.0 0.0 0.0 0.0 2.292122268703751 1.22573 -33.0 897017 -99.0 -99.0 -99.0 -99.0 91079.38 4.9512091 -5.7316529 -5.5456945 1.2257283 1.2254598 8.7868017 0.0074072 0.0 -0.0 430337.30920783116 9.701271835638181e-06
2.960465 5.515492 2.284419 7.764558 0.0 0.0 0.0 0.0 2.292122269022941 1.0984 -33.0 897041 -99.0 -99.0 -99.0 -99.0 6417.806 3.7403667 -5.7927562 -5.0497007 1.0983968 1.0974086 8.5353059 0.0093666 0.0 -0.0 327711.7400762318 9.84528003300511e-06
3.099869 5.571619 2.382142 7.962041 0.0 0.0 0.0 0.0 2.292122270697689 1.15919 -33.0 897039 -99.0 -99.0 -99.0 -99.0 20562.8 4.2855071 -5.7506558 -3.9994103 1.1591813 1.1585626 8.6438006 0.0084924 0.0 -0.0 372922.85465078667 1.0600872315080778e-05
3.390155 5.710963 2.63305 8.523105 0.0 0.0 0.0 0.0 2.292122271337156 1.2919 -33.0 897017 -99.0 -99.0 -99.0 -99.0 519860.3 5.7138241 -5.7343466 -5.0118092 1.2919012 1.2917514 8.9579665 0.0062444 0.0 -0.0 513999.8591656903 1.0889379012724021e-05
3.224054 5.632525 2.501408 8.212055 0.0 0.0 0.0 0.0 2.292122271416708 1.22573 -33.0 897018 -99.0 -99.0 -99.0 -99.0 90792.74 4.9499245 -5.7316529 -5.5456945 1.2257283 1.2254598 8.7874826 0.0074014 0.0 -0.0 429066.8876034851 1.0925270487405214e-05
2.952063 5.513586 2.284368 7.764573 0.0 0.0 0.0 0.0 2.292122273484271 1.0984 -33.0 897042 -99.0 -99.0 -99.0 -99.0 6397.49 3.7401503 -5.7927554 -5.0497054 1.0983968 1.0974086 8.5360808 0.0093583 0.0 -0.0 326276.654056917 1.1858087844984766e-05
3.385732 5.710113 2.630734 8.523982 0.0 0.0 0.0 0.0 2.292122274651935 1.2919 -33.0 897018 -99.0 -99.0 -99.0 -99.0 512513.5 5.7076343 -5.7343466 -5.0118092 1.2919012 1.2917514 8.9589889 0.006237 0.0 -0.0 512994.84384167526 1.2384900173856295e-05
