Teff log_g Mass Mbol BC U B V R I J H Ks Y J_1 H_1 K W1 W2 W3 W4 S36 S45 S58 S80 u g r i z g_1 r_1 i_1 z_1 y G2 G2_BP G2_RP G3 G3_BP G3_RP FUV NUV Age
45000.0 7.0 0.281 3.613 -4.08 6.084 7.382 7.693 7.845 8.038 8.46 8.595 8.705 8.342 8.439 8.565 8.684 8.777 8.821 8.861 8.841 8.787 8.817 8.841 8.857 6.925 7.385 7.922 8.311 8.662 7.451 7.927 8.321 8.611 8.822 7.633 7.375 7.958 7.642 7.463 7.985 5.636 6.2 0.0
47500.0 7.0 0.287 3.357 -4.212 5.935 7.252 7.569 7.716 7.906 8.327 8.455 8.563 8.214 8.307 8.425 8.541 8.631 8.674 8.73 8.733 8.64 8.671 8.697 8.718 6.776 7.258 7.794 8.178 8.53 7.326 7.799 8.189 8.478 8.695 7.504 7.244 7.827 7.512 7.333 7.854 5.509 6.063 0.0
50000.0 7.0 0.292 3.113 -4.393 5.861 7.184 7.506 7.652 7.843 8.266 8.393 8.501 8.153 8.246 8.364 8.48 8.569 8.613 8.671 8.675 8.579 8.61 8.636 8.658 6.703 7.192 7.731 8.115 8.468 7.261 7.736 8.126 8.416 8.634 7.439 7.177 7.764 7.447 7.267 7.791 5.426 5.985 0.0
52500.0 7.0 0.298 2.879 -4.572 5.798 7.125 7.45 7.597 7.789 8.213 8.34 8.449 8.1 8.193 8.311 8.427 8.516 8.56 8.618 8.622 8.526 8.557 8.583 8.605 6.64 7.134 7.675 8.061 8.414 7.203 7.681 8.071 8.362 8.581 7.382 7.118 7.709 7.39 7.209 7.736 5.351 5.917 0.0
55000.0 7.0 0.305 2.654 -4.743 5.739 7.069 7.397 7.544 7.737 8.162 8.289 8.398 8.048 8.142 8.26 8.376 8.465 8.509 8.567 8.57 8.475 8.506 8.532 8.554 6.58 7.079 7.622 8.009 8.363 7.148 7.628 8.019 8.31 8.529 7.328 7.063 7.657 7.336 7.153 7.684 5.278 5.852 0.0
57500.0 7.0 0.311 2.439 -4.906 5.681 7.014 7.344 7.492 7.686 8.113 8.24 8.348 7.998 8.092 8.21 8.327 8.416 8.46 8.518 8.52 8.426 8.457 8.483 8.505 6.523 7.024 7.57 7.958 8.312 7.094 7.576 7.968 8.259 8.479 7.275 7.008 7.606 7.283 7.099 7.633 5.207 5.788 0.0
60000.0 7.0 0.317 2.232 -5.06 5.624 6.959 7.292 7.441 7.636 8.063 8.191 8.299 7.948 8.043 8.161 8.278 8.367 8.412 8.469 8.47 8.377 8.408 8.435 8.457 6.466 6.97 7.519 7.907 8.262 7.041 7.524 7.917 8.209 8.429 7.222 6.954 7.555 7.23 7.045 7.582 5.135 5.724 0.0
65000.0 7.0 0.33 1.842 -5.344 5.509 6.847 7.185 7.336 7.533 7.962 8.091 8.2 7.847 7.942 8.061 8.178 8.269 8.314 8.372 8.37 8.279 8.31 8.337 8.36 6.35 6.86 7.413 7.803 8.16 6.931 7.418 7.814 8.107 8.327 7.114 6.844 7.451 7.121 6.935 7.478 4.989 5.594 0.0
70000.0 7.0 0.343 1.477 -5.599 5.392 6.733 7.076 7.228 7.427 7.86 7.99 8.1 7.743 7.839 7.96 8.078 8.17 8.216 8.274 8.269 8.18 8.212 8.24 8.262 6.233 6.748 7.305 7.697 8.055 6.819 7.311 7.708 8.002 8.223 7.003 6.731 7.345 7.011 6.823 7.372 4.841 5.463 0.0
75000.0 7.0 0.356 1.137 -5.832 5.277 6.622 6.969 7.123 7.324 7.76 7.891 8.003 7.642 7.739 7.861 7.981 8.074 8.121 8.178 8.167 8.084 8.117 8.145 8.167 6.119 6.638 7.199 7.594 7.953 6.71 7.205 7.604 7.9 8.121 6.895 6.621 7.241 6.903 6.713 7.268 4.696 5.333 0.0
80000.0 7.0 0.369 0.818 -6.046 5.165 6.513 6.864 7.02 7.224 7.662 7.795 7.908 7.543 7.642 7.766 7.887 7.982 8.029 8.082 8.066 7.992 8.025 8.052 8.074 6.007 6.53 7.096 7.492 7.853 6.603 7.101 7.503 7.8 8.022 6.79 6.514 7.139 6.797 6.606 7.167 4.556 5.208 0.0
85000.0 7.0 0.382 0.517 -6.244 5.055 6.407 6.761 6.919 7.125 7.567 7.702 7.816 7.446 7.547 7.672 7.794 7.89 7.937 7.986 7.963 7.9 7.933 7.96 7.98 5.897 6.425 6.994 7.393 7.755 6.498 7.0 7.404 7.702 7.924 6.686 6.408 7.04 6.694 6.501 7.067 4.419 5.085 0.0
90000.0 7.0 0.396 0.23 -6.429 4.946 6.301 6.659 6.818 7.027 7.472 7.608 7.724 7.35 7.452 7.579 7.702 7.798 7.844 7.887 7.858 7.808 7.84 7.866 7.884 5.789 6.321 6.894 7.294 7.658 6.394 6.899 7.305 7.604 7.828 6.584 6.304 6.941 6.591 6.397 6.969 4.285 4.964 0.0
100000.0 7.0 0.425 -0.305 -6.762 4.732 6.092 6.457 6.62 6.833 7.283 7.421 7.536 7.159 7.263 7.391 7.515 7.608 7.65 7.678 7.638 7.618 7.646 7.668 7.681 5.574 6.114 6.694 7.099 7.465 6.188 6.7 7.11 7.411 7.636 6.38 6.097 6.745 6.388 6.191 6.773 4.023 4.726 0.0
110000.0 7.0 0.455 -0.791 -7.045 4.517 5.883 6.254 6.419 6.636 7.086 7.222 7.334 6.963 7.066 7.193 7.313 7.399 7.435 7.448 7.398 7.408 7.432 7.449 7.456 5.36 5.907 6.493 6.901 7.268 5.982 6.499 6.912 7.214 7.438 6.176 5.889 6.546 6.183 5.984 6.574 3.765 4.49 0.0
120000.0 7.0 0.482 -1.231 -7.269 4.295 5.664 6.038 6.203 6.419 6.863 6.994 7.101 6.742 6.842 6.965 7.079 7.156 7.185 7.181 7.124 7.164 7.183 7.195 7.195 5.138 5.689 6.277 6.685 7.05 5.764 6.283 6.696 6.997 7.219 5.958 5.671 6.33 5.965 5.766 6.358 3.508 4.25 0.0
130000.0 7.0 0.506 -1.633 -7.46 4.086 5.455 5.828 5.992 6.205 6.642 6.77 6.872 6.525 6.621 6.74 6.85 6.921 6.944 6.929 6.874 6.927 6.942 6.95 6.945 4.929 5.479 6.066 6.472 6.835 5.554 6.072 6.483 6.782 7.001 5.748 5.461 6.116 5.755 5.556 6.144 3.28 4.031 0.0
140000.0 7.0 0.53 -2.005 -7.658 3.911 5.28 5.653 5.816 6.028 6.462 6.588 6.688 6.346 6.441 6.559 6.666 6.732 6.752 6.732 6.685 6.738 6.75 6.755 6.748 4.754 5.304 5.89 6.295 6.657 5.379 5.896 6.306 6.605 6.823 5.572 5.286 5.94 5.58 5.381 5.968 3.096 3.853 0.0
150000.0 7.0 0.557 -2.358 -7.855 3.756 5.125 5.498 5.661 5.872 6.304 6.429 6.527 6.189 6.284 6.4 6.505 6.568 6.585 6.567 6.527 6.573 6.583 6.588 6.581 4.6 5.149 5.735 6.14 6.501 5.224 5.741 6.151 6.448 6.666 5.417 5.131 5.784 5.424 5.226 5.812 2.935 3.695 0.0
3250.0 7.5 0.313 16.161 -0.943 19.151 18.524 17.104 16.197 15.324 14.367 14.055 14.303 14.747 14.318 14.032 14.293 14.671 14.823 14.616 14.136 14.714 14.816 14.851 14.79 19.995 17.88 16.552 15.935 15.566 17.67 16.533 15.922 15.612 15.446 16.413 17.301 15.511 16.437 17.31 15.519 34.131 24.88 6461.0
3500.0 7.5 0.313 15.838 -0.741 18.342 17.863 16.579 15.762 14.969 14.127 13.868 14.101 14.463 14.081 13.844 14.089 14.445 14.591 14.393 13.939 14.485 14.584 14.617 14.557 19.186 17.275 16.088 15.552 15.242 17.086 16.072 15.54 15.278 15.144 15.989 16.776 15.141 16.012 16.786 15.15 32.292 23.708 5716.0
3750.0 7.5 0.313 15.537 -0.588 17.643 17.292 16.125 15.386 14.661 13.916 13.678 13.881 14.216 13.871 13.655 13.87 14.188 14.322 14.134 13.704 14.226 14.315 14.344 14.285 18.484 16.752 15.687 15.22 14.96 16.582 15.674 15.21 14.99 14.882 15.618 16.318 14.82 15.639 16.33 14.83 30.707 22.692 4774.0
